Date,Product Name,ASIN,Amazon URL,Cost Price,Sell Price,Net Profit,ROI,Total Fees,Estimated SPM,Sales Rank,FBA Sellers,Supplier URL,Checkout Cost,Recommended Checkout Quantity,Promo Codes,IP Alert,Autoship,PR Assistant,Notes
2024-11-25,"Native Body Wash - Cherry & Vanilla Macaron - Liquid Soap | Clean, Naturally Sourced Ingredients - Pack Of 01-18 Fl Oz - 532 ML",B0CMW4R18D,https://www.amazon.com/dp/B0CMW4R18D,$7.00,$23.00,$6.45,92.14%,$9.55,> 50,130432,1,https://www.nativecos.com/products/body-wash-cherry-vanilla-macaron?utm_medium=cpc&utm_source=google_shopping&utm_campaign=bodywash&/?utm_source=google&utm_medium=cpc&gad_source=1&gclid=CjwKCAiA9IC6BhA3EiwAsbltOBJSTzoLXg9qM0lJEzDuaYPtHNn-wDlx0YNR8vkDywmD8VvLtel64RoCJroQAvD_BwE,$140.00,20,Onsale,No,No,Dixie,https://snipboard.io/rmVPT4.jpg
2024-11-26,"Harry's Men's Deodorant - Odor Control Deodorant - Aluminum-Free - Variety Pack - Stone, Shiso, Redwood, 2.5 Ounce (Pack of 3)",B092N1D95M,https://www.amazon.com/dp/B092N1D95M,$13.20,$28.79,$5.66,42.88%,$9.93,> 200,"33,975",3,https://www.harrys.com/en/us/products/deodorant,$79.20,18,SMSAVE20,No,No,Dixie,3 sticks $5.50/ea
2024-11-26,The Grinch: Christmas Adventures - Nintendo Switch,B0C9NX5P1R,https://www.amazon.com/dp/B0C9NX5P1R,$21.76,$45.00,$11.41,52.44%,$11.83,> 100,3733,6,https://www.target.com/p/the-grinch-christmas-adventures-nintendo-switch/-/A-92606421?ref=tgt_adv_xsp&AFID=google&fndsrc=tgtao&DFA=71700000012807836&CPNG=PLA_Video%2BGames%2BShopping_Local%7CVideo%2BGames_Ecomm_Hardlines&adgroup=SC_Video%2BGames&LID=700000001170770pgs&LNM=PRODUCT_GROUP&network=g&device=c&location=1022260&targetid=aud-451285846473%3Apla-332925650619&ds_rl=1246978&ds_rl=1248099&gad_source=1&gclid=Cj0KCQiAgJa6BhCOARIsAMiL7V8tH5E6WA_73IcHDYK2u-sFpO2nLbwiG-vD1nOuHjbOufcev3ReKgMaAiu_EALw_wcB&gclsrc=aw.ds,$65.28,3,,No,No,Sir Kim,https://snipboard.io/Q7zjlq.jpg
2024-11-26,Yankee Candle Set of 2 Kitchen Spice Fragranced Wax Melts,B09R8YZX39,https://www.amazon.com/dp/B09R8YZX39,$5.50,$18.25,$5.45,99.09%,$7.30,> 100,322959,5,https://www.yankeecandle.com/yankee-candle/home-fragrance/home-fragrance-styles/wax-melts-warmers/wax-melts/kitchen-spice/ORCL_1601971.html,$55.00,10,Code: ABP1-C6TNB55PW4,No,No,Sir Kim,https://snipboard.io/EdNL6o.jpg
2024-11-26,"Disney Store Inside Out 2 Deluxe Figure Set, H4 x 11.5 cm",B0D45R751N,https://www.amazon.com/dp/B0D45R751N,$18.99,$54.22,$18.65,98.21%,$16.58,> 200,34382,0,https://www.disneystore.com/inside-out-2-deluxe-figure-play-set-417137973358.html,$189.90,10,Code: MICKEY,No,No,Sir Kim,https://snipboard.io/84IDAc.jpg
2024-11-26,"Not Your Mother's Way to Grow Shampoo and Conditioner (2-Pack) - 8 fl oz - Ideal for All Hair Types - Helps Cleanse, Moisturize, and Hydrate Dry Hair and Damaged Hair",B07KGTDQMY,https://www.amazon.com/dp/B07KGTDQMY,$11.85,$25.50,$4.19,35.36%,$9.46,> 300,41531,0,"https://www.ulta.com/p/way-grow-long-strong-conditioner-pimprod2023241?sku=2576471&cmpid=PS_Non!google!Product_Listing_Ads&utm_source=google&utm_medium=paidsearch&cagpspn=pla&CATCI=&CAAGID=&CAWELAID=330000200002729392&gad_source=1&gclid=Cj0KCQiAuou6BhDhARIsAIfgrn4scv4eKqEqtCBcGAPEB6XL7vJ0pf4v_DzQT1F8BW49On8dST35eSoaAruzEALw_wcB
https://www.ulta.com/p/way-grow-long-strong-shampoo-pimprod2023240?sku=2576475&cmpid=PS_Non!google!Product_Listing_Ads&utm_source=google&utm_medium=paidsearch&cagpspn=pla&CATCI=&CAAGID=&CAWELAID=330000200002729393&gad_source=1&gclid=Cj0KCQiAuou6BhDhARIsAIfgrn46XUNuNmNTtVylx1S7e6aUBfUUeYM6Gw1KI8TszrY1jbi84mfEES8aApISEALw_wcB",$118.50,10,on-sale,No,No,Sir Kim,https://snipboard.io/XyoBjQ.jpg
2024-11-27,EA SPORTS UFC 5 - PlayStation 5,B0CGY4Q44H,https://www.amazon.com/dp/B0CGY4Q44H,$24.99,$50.19,$12.46,49.86%,$12.74,> 100,"5,205",5,https://www.target.com/p/ea-sports-ufc-5---playstation-5--no-aasa/-/A-89885732,$249.90,10,,No,No,Sir Kim,https://snipboard.io/pdmCu3.jpg
2024-11-27,"KSECRET SEOUL 1988 Serum : Retinal Liposome 2% + Black Ginseng, 30ml/1.01fl.oz | 58% Black Ginseng Extract | Retinal serum, Bakuchiol, VitaminC&3Peptides for Wrinkle Care | Korean Skincare | seoul1988",B0CP3C7TTJ,https://www.amazon.com/dp/B0CP3C7TTJ,$9.02,$21.98,$5.69,63.08%,$6.82,> 2000,6184,4,https://www.yesstyle.com/en/ksecret-seoul-1988-serum-retinal-liposome-2-black-ginseng-30ml/info.html/pid.1126934079,$180.40,20,MILSBF18,No,No,Dixie,Price updated
2024-11-27,FACE REALITY SKINCARE Clearderma Moisturizer,B0BXT8X3ZN,https://www.amazon.com/dp/B0BXT8X3ZN,$29.00,$49.99,$9.53,32.86%,$11.46,> 300,94380,2,https://facerealityskincare.com/products/clearderma-moisturizer?srsltid=AfmBOooihnRmOESQQNXQALZQFx8WuK34lRpASx6VeufIf8oTtgS5MOzd,$290.00,10,Code: FRSHIP,No,No,Sir Kim,https://snipboard.io/RuFd68.jpg
2024-11-27,"SodaStream Diet Fountain Sparkling Drink Mix Variety Pack, 440ml, (Pack of 4)",B01GQJI9BU,https://www.amazon.com/dp/B01GQJI9BU,$14.40,$36.09,$7.02,48.75%,$14.67,> 200,47248,5,"https://sodastream.com/products/diet-orange?variant=12321103609898
https://sodastream.com/products/dr-pete?variant=12321108131882
https://sodastream.com/products/diet-cola?variant=12321083195434
https://sodastream.com/products/root-beer?variant=12321171406890",$144.00,10,Code: HOLIDAY40,No,No,Sir Kim,https://snipboard.io/Wdy9lx.jpg
